bar_index,equity,peak,drawdown_pct,bar_return,rolling_sharpe_60
134,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
135,10175.497539557073,10215.006032079598,0.38676915508861737,0.0,10.634507585180556
136,10172.848631461906,10215.006032079598,0.412700692347119,-0.00026032221863052217,10.49561642595557
137,10158.592389989171,10215.006032079598,0.5522624452032957,-0.0014014011206894127,9.938213483206951
138,10189.738014614166,10215.006032079598,0.24736174786465875,0.003065939003093294,11.17967686444861
139,10197.04260342996,10215.006032079598,0.17585333374474182,0.0007168573721245536,10.037963875646799
140,10190.884065736731,10215.006032079598,0.23614245813574491,-0.0006039533159503915,9.803027180652702
141,10184.939669083706,10215.006032079598,0.29433524465351335,-0.0005833052966436148,9.405491507760582
142,10161.697435072107,10215.006032079598,0.5218655460415719,-0.0022820198024491654,8.050935757176878
143,10165.405247527464,10215.006032079598,0.48556784397744074,0.000364881209960072,7.414854575461864
144,10154.337328208854,10215.006032079598,0.5939174551656436,-0.0010887828914938503,6.85594144250651
145,10160.436382279804,10215.006032079598,0.534210646850541,0.0006006353614043033,7.830074887555249
146,10171.424990102041,10215.006032079598,0.42663745709687806,0.0010815094360909201,6.320745709277336
147,10173.677436598986,10215.006032079598,0.40458708835631135,0.00022144846952482796,5.433820266123837
148,10165.139554014619,10215.006032079598,0.4881688557831201,-0.0008392130217980872,4.152285578544274
149,10173.138118423662,10215.006032079598,0.4098667541110902,0.0007868622330801159,6.0519743980034795
150,10172.987426580556,10215.006032079598,0.4113419548366965,-1.4812719669366894e-05,5.62539458032587
151,10159.948105930052,10215.006032079598,0.5389906376622771,-0.0012817592417772327,5.764632399783688
152,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,5.581827521357113
153,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,4.209846353676302
154,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,4.825037352666233
155,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,3.4580648693154457
156,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,2.920472508162717
157,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,1.82546859936161
158,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-0.7706272927329472
159,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-4.186117462614284
160,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.2108432537903748
161,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-0.12318136804829884
162,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,1.5125018591215866
163,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-0.20456564023587168
164,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-2.678261117042739
165,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-2.216061709275338
166,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-2.661691119346748
167,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-3.806308699110592
168,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-4.291973239915418
169,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
170,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
171,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
172,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
173,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
174,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
175,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
176,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
177,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
178,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
179,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
180,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
181,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
182,10159.948105930052,10215.006032079598,0.5389906376622771,0.0,-1.8686361653684482
